codigo_ise;nome_ise;nome_cvm;cnpj;setor;uf;participacao_pct
BBAS3;BRASIL;ENGIE BRASIL ENERGIA S.A.;02.474.103/0001-19;Energia Elétrica;SC;2,567
BBAS3;BRASIL;ENGIE BRASIL ENERGIA S.A.;02.474.103/0001-19;Energia Elétrica;SC;2,567
BBAS3;BRASIL;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;08.764.621/0001-53;Comércio (Atacado e Varejo);SP;2,567
BBAS3;BRASIL;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;08.764.621/0001-53;Comércio (Atacado e Varejo);SP;2,567
BBAS3;BRASIL;HIDROVIAS DO BRASIL S.A.;12.648.327/0001-53;Serviços Transporte e Logística;SP;2,567
BBAS3;BRASIL;HIGHLINE BRASIL II INFRAESTRUTURA DE TELECOMUNICAÇÕES S.A.;27.902.165/0002-96;Telecomunicações;RJ;2,567
BBAS3;BRASIL;INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA;82.901.000/0001-27;Comércio (Atacado e Varejo);SC;2,567
BBAS3;BRASIL;INTERCEMENT BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;62.258.884/0001-36;Construção Civil, Mat. Constr. e Decoração;SP;2,567
BBAS3;BRASIL;IRB - BRASIL RESSEGUROS S.A.;33.376.989/0001-91;Seguradoras e Corretoras;RJ;2,567
BBAS3;BRASIL;IRB - BRASIL RESSEGUROS S.A.;33.376.989/0001-91;Seguradoras e Corretoras;RJ;2,567
BBAS3;BRASIL;ISA ENERGIA BRASIL S.A.;02.998.611/0001-04;Energia Elétrica;SP;2,567
BBAS3;BRASIL;ISA ENERGIA BRASIL S.A.;02.998.611/0001-04;Energia Elétrica;SP;2,567
BBAS3;BRASIL;LABORATÓRIO TEUTO BRASILEIRO S.A.;17.159.229/0001-76;Farmacêutico e Higiene;GO;2,567
BBAS3;BRASIL;LPS BRASIL CONSULTORIA DE IMOVEIS S/A;08.078.847/0001-09;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;SP;2,567
BBAS3;BRASIL;MASSA FALIDA DA BRASIL PHARMA SA;11.395.624/0001-71;Farmacêutico e Higiene;SP;2,567
BBAS3;BRASIL;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;09.625.321/0001-56;Energia Elétrica;RJ;2,567
BBAS3;BRASIL;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;12.104.241/0004-02;Serviços Médicos;SP;2,567
BBAS3;BRASIL;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;09.112.685/0001-32;Emp. Adm. Part. - Sem Setor Principal;RJ;2,567
BBAS3;BRASIL;PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS;33.000.167/0001-01;Petróleo e Gás;RJ;2,567
BBAS3;BRASIL;PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS;33.000.167/0001-01;Petróleo e Gás;RJ;2,567
BBAS3;BRASIL;RODOVIAS DO BRASIL HOLDING S.A.;41.508.382/0001-46;Emp. Adm. Part. - Serviços Transporte e Logística;RJ;2,567
BBAS3;BRASIL;SANTOS BRASIL PARTICIPAÇÕES S.A.;02.762.121/0001-04;Emp. Adm. Part. - Serviços Transporte e Logística;SP;2,567
BBAS3;BRASIL;SANTOS BRASIL PARTICIPAÇÕES S.A.;02.762.121/0001-04;Emp. Adm. Part. - Serviços Transporte e Logística;SP;2,567
BBAS3;BRASIL;TELEC. BRASILEIRAS S.A. - TELEBRÁS;00.336.701/0001-04;Telecomunicações;DF;2,567
BBAS3;BRASIL;TELEFÔNICA BRASIL S.A.;02.558.157/0001-62;Telecomunicações;SP;2,567
BBAS3;BRASIL;TERP GLBL BRASIL I PARTICIPAÇÕES S.A.;21.748.188/0001-20;Emp. Adm. Part. - Energia Elétrica;RJ;2,567
BBAS3;BRASIL;TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.;02.600.854/0001-34;Telecomunicações;RJ;2,567
BBAS3;BRASIL;TRANSBRASILIANA CONCESSIONÁRIA DE RODOVIA SA;09.074.183/0001-64;Serviços Transporte e Logística;SP;2,567
BBAS3;BRASIL;TRONOX PIGMENTOS DO BRASIL S.A.;15.115.504/0001-24;Petroquímicos e Borracha;BA;2,567
BBAS3;BRASIL;VIA BRASIL BR 163 CONCESSIONARIA DE RODOVIAS S.A.;44.067.725/0001-72;Serviços Transporte e Logística;MT;2,567
BRKM5;BRASKEM;BRASKEM S.A.;42.150.391/0001-70;Petroquímicos e Borracha;BA;0,415
CAML3;CAMIL;CAMIL ALIMENTOS S/A;64.904.295/0001-03;Alimentos;SP;0,112
BHIA3;CASAS BAHIA;GRUPO CASAS BAHIA S.A.;33.041.260/0652-90;Comércio (Atacado e Varejo);SP;0,047
BHIA3;CASAS BAHIA;GRUPO CASAS BAHIA S.A.;33.041.260/0652-90;Comércio (Atacado e Varejo);SP;0,047
CMIG4;CEMIG;CEMIG DISTRIBUIÇÃO S/A;06.981.180/0001-16;Energia Elétrica;MG;2,715
CMIG4;CEMIG;CEMIG GERAÇÃO E TRANSMISSÃO S/A;06.981.176/0001-58;Energia Elétrica;MG;2,715
CMIG4;CEMIG;CIA ENERG MINAS GERAIS - CEMIG;17.155.730/0001-64;Energia Elétrica;MG;2,715
CPLE3;COPEL;COMPANHIA PARANAENSE DE ENERGIA COPEL;76.483.817/0001-20;Energia Elétrica;PR;2,806
CPLE3;COPEL;COMPANHIA PARANAENSE DE ENERGIA COPEL;76.483.817/0001-20;Energia Elétrica;PR;2,806
CPLE3;COPEL;COPEL DISTRIBUIÇÃO S.A.;04.368.898/0001-06;Energia Elétrica;PR;2,806
CPLE3;COPEL;COPEL GERAÇÃO E TRANSMISSÃO S/A;04.370.282/0001-70;Energia Elétrica;PR;2,806
CSAN3;COSAN;COSAN S.A.;50.746.577/0001-15;Agricultura (Açúcar, Álcool e Cana);SP;1,659
CSAN3;COSAN;COSAN S.A.;50.746.577/0001-15;Agricultura (Açúcar, Álcool e Cana);SP;1,659
CPFE3;CPFL ENERGIA;CPFL ENERGIA SA;02.429.144/0001-93;Emp. Adm. Part. - Energia Elétrica;SP;1,807
CPFE3;CPFL ENERGIA;CPFL ENERGIA SA;02.429.144/0001-93;Emp. Adm. Part. - Energia Elétrica;SP;1,807
CPFE3;CPFL ENERGIA;CPFL ENERGIAS RENOVÁVEIS S.A.;08.439.659/0001-50;Emp. Adm. Part. - Energia Elétrica;SP;1,807
CPFE3;CPFL ENERGIA;CPFL ENERGIAS RENOVÁVEIS S.A.;08.439.659/0001-50;Emp. Adm. Part. - Energia Elétrica;SP;1,807
DXCO3;DEXCO;DEXCO S.A.;97.837.181/0001-47;Construção Civil, Mat. Constr. e Decoração;SP;0,326
DXCO3;DEXCO;DEXCO S.A.;97.837.181/0001-47;Construção Civil, Mat. Constr. e Decoração;SP;0,326
ECOR3;ECORODOVIAS;ECORODOVIAS CONCESSÕES E SERVIÇOS S/A;08.873.873/0001-10;Emp. Adm. Part. - Serviços Transporte e Logística;SP;0,572
ECOR3;ECORODOVIAS;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;04.149.454/0001-80;Serviços Transporte e Logística;SP;0,572
ECOR3;ECORODOVIAS;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;04.149.454/0001-80;Serviços Transporte e Logística;SP;0,572
ENEV3;ENEVA;ENEVA S.A.;04.423.567/0001-21;Energia Elétrica;RJ;2,499
EGIE3;ENGIE BRASIL;ENGIE BRASIL ENERGIA S.A.;02.474.103/0001-19;Energia Elétrica;SC;2,323
EGIE3;ENGIE BRASIL;ENGIE BRASIL ENERGIA S.A.;02.474.103/0001-19;Energia Elétrica;SC;2,323
EGIE3;ENGIE BRASIL;ENGIE BRASIL ENERGIA S.A.;02.474.103/0001-19;Energia Elétrica;SC;2,323
EQTL3;EQUATORIAL;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A.;01.543.032/0001-04;Energia Elétrica;GO;2,405
EQTL3;EQUATORIAL;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;06.272.793/0001-84;Energia Elétrica;MA;2,405
EQTL3;EQUATORIAL;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;04.895.728/0001-80;Energia Elétrica;PA;2,405
EQTL3;EQUATORIAL;EQUATORIAL S.A.;03.220.438/0001-73;Energia Elétrica;MA;2,405
FLRY3;FLEURY;FLEURY SA;60.840.055/0001-31;Serviços Médicos;SP;1,296
GFSA3;GAFISA;GAFISA SA;01.545.826/0001-07;Construção Civil, Mat. Constr. e Decoração;SP;0,003
HBSA3;HIDROVIAS;HIDROVIAS DO BRASIL S.A.;12.648.327/0001-53;Serviços Transporte e Logística;SP;0,390
HYPE3;HYPERA;HYPERA S/A;02.932.074/0001-91;Farmacêutico e Higiene;SP;1,343
IGTI11;IGUATEMI S.A;IGUATEMI S.A.;60.543.816/0001-93;Emp. Adm. Part. - Comércio (Atacado e Varejo);SP;1,104
RANI3;IRANI;IRANI PAPEL E EMBALAGEM S.A.;92.791.243/0001-03;Embalagens;RS;0,153
ISAE4;ISA ENERGIA;ISA ENERGIA BRASIL S.A.;02.998.611/0001-04;Energia Elétrica;SP;2,120
ISAE4;ISA ENERGIA;ISA ENERGIA BRASIL S.A.;02.998.611/0001-04;Energia Elétrica;SP;2,120
ITSA4;ITAUSA;ITAUSA S.A.;61.532.644/0001-15;Emp. Adm. Part. - Intermediação Financeira;SP;2,755
ITSA4;ITAUSA;ITAUSA S.A.;61.532.644/0001-15;Emp. Adm. Part. - Intermediação Financeira;SP;2,755
JSLG3;JSL;JSL S.A.;52.548.435/0001-79;Serviços Transporte e Logística;SP;0,088
JSLG3;JSL;JSL S.A.;52.548.435/0001-79;Serviços Transporte e Logística;SP;0,088
LREN3;LOJAS RENNER;LOJAS RENNER SA;92.754.738/0001-62;Comércio (Atacado e Varejo);RS;2,560
LREN3;LOJAS RENNER;LOJAS RENNER SA;92.754.738/0001-62;Comércio (Atacado e Varejo);RS;2,560
MBRF3;MARFRIG;MARFRIG GLOBAL FOODS SA;03.853.896/0001-40;Alimentos;SP;2,017
BEEF3;MINERVA;MINERVA S/A;67.620.377/0001-14;Alimentos;SP;0,315
MTRE3;MITRE REALTY;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;07.882.930/0001-65;Construção Civil, Mat. Constr. e Decoração;SP;0,043
MOVI3;MOVIDA;MOVIDA PARTICIPAÇÕES S.A.;21.314.559/0001-66;Serviços Transporte e Logística;SP;0,363
MOVI3;MOVIDA;MOVIDA PARTICIPAÇÕES S.A.;21.314.559/0001-66;Serviços Transporte e Logística;SP;0,363
MRVE3;MRV;MRV ENGENHARIA E PARTICIPAÇÕES S/A;08.343.492/0001-20;Construção Civil, Mat. Constr. e Decoração;MG;0,499
NATU3;NATURA;NATURA COSMETICOS SA;71.673.990/0001-77;Farmacêutico e Higiene;SP;1,483
OPCT3;OCEANPACT;OCEANPACT SERVIÇOS MARÍTIMOS S.A.;09.114.805/0001-30;Petróleo e Gás;RJ;0,227
ODPV3;ODONTOPREV;ODONTOPREV S/A;58.119.199/0001-51;Serviços Médicos;SP;0,682
PSSA3;PORTO SEGURO;PORTO SEGURO SA;02.149.205/0001-69;Seguradoras e Corretoras;SP;1,742
RAIL3;RUMO S.A.;RUMO S.A.;02.387.241/0001-60;Emp. Adm. Part. - Serviços Transporte e Logística;PR;2,256
RAIL3;RUMO S.A.;RUMO S.A.;02.387.241/0001-60;Emp. Adm. Part. - Serviços Transporte e Logística;PR;2,256
SAPR11;SANEPAR;CIA. DE SANEAMENTO DO PARANÁ - SANEPAR;76.484.013/0001-45;Saneamento, Serv. Água e Gás;PR;1,472
SIMH3;SIMPAR;SIMPAR S.A.;07.415.333/0001-20;Serviços Transporte e Logística;SP;0,346
SLCE3;SLC AGRICOLA;SLC AGRICOLA SA;89.096.457/0001-55;Agricultura (Açúcar, Álcool e Cana);RS;0,690
TIMS3;TIM;ALUPAR INVESTIMENTO S/A;08.364.948/0001-38;Emp. Adm. Part. - Energia Elétrica;SP;2,837
TIMS3;TIM;ALVAREZ & MARSAL INVESTIMENTOS I S.A.;42.233.757/0001-75;Emp. Adm. Part. - Sem Setor Principal;SP;2,837
TIMS3;TIM;ARANDU INVESTIMENTOS S.A.;14.127.813/0001-51;Emp. Adm. Part. - Intermediação Financeira;SP;2,837
TIMS3;TIM;BANCO MERCANTIL DE INVESTIMENTOS S.A.;34.169.557/0001-72;Bancos;MG;2,837
TIMS3;TIM;CEMEPE INVESTIMENTOS SA;93.828.986/0001-73;Emp. Adm. Part. - Sem Setor Principal;RJ;2,837
TIMS3;TIM;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;05.197.443/0001-38;Serviços Médicos;CE;2,837
TIMS3;TIM;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;05.197.443/0001-38;Serviços Médicos;CE;2,837
TIMS3;TIM;INVESTIMENTOS BEMGE S.A.;01.548.981/0001-79;Bancos;SP;2,837
TIMS3;TIM;INVESTIMENTOS E PARTICIP EM INFRA SA INVEPAR;03.758.318/0001-24;Emp. Adm. Part. - Serviços Transporte e Logística;SP;2,837
TIMS3;TIM;INVESTIMENTOS E PARTICIP EM INFRA SA INVEPAR;03.758.318/0001-24;Emp. Adm. Part. - Serviços Transporte e Logística;SP;2,837
TIMS3;TIM;METISA METALÚRGICA  TIMBOENSE SA;86.375.425/0001-09;Metalurgia e Siderurgia;SC;2,837
TIMS3;TIM;OCEANPACT SERVIÇOS MARÍTIMOS S.A.;09.114.805/0001-30;Petróleo e Gás;RJ;2,837
TIMS3;TIM;ORANJEBTC S.A. - EDUCAÇÃO E INVESTIMENTO;59.693.110/0001-29;Educação;SP;2,837
TIMS3;TIM;TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.;02.600.854/0001-34;Telecomunicações;RJ;2,837
TIMS3;TIM;TIM S.A.;02.421.421/0001-11;Telecomunicações;RJ;2,837
TIMS3;TIM;TPI - TRIUNFO PARTICIPACOES E INVESTIMENTOS S.A.;03.014.553/0001-91;Emp. Adm. Part. - Serviços Transporte e Logística;SP;2,837
TIMS3;TIM;TREVISA  INVESTIMENTOS SA;92.660.570/0001-26;Emp. Adm. Part. - Sem Setor Principal;RS;2,837
TIMS3;TIM;VOTORANTIM CIMENTOS S.A.;01.637.895/0001-32;Construção Civil, Mat. Constr. e Decoração;SP;2,837
TIMS3;TIM;XX DE NOVEMBRO INVESTIMENTOS E PARTICIPAÇÕES S.A;03.538.833/0001-07;Emp. Adm. Part. - Sem Setor Principal;RJ;2,837
UGPA3;ULTRAPAR;ULTRAPAR PARTICIPAÇÕES SA;33.256.439/0001-39;Emp. Adm. Part. - Petróleo e Gás;SP;2,419
USIM5;USIMINAS;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;60.894.730/0001-05;Metalurgia e Siderurgia;MG;0,651
USIM5;USIMINAS;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;60.894.730/0001-05;Metalurgia e Siderurgia;MG;0,651
VAMO3;VAMOS;VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.;23.373.000/0001-32;Serviços Transporte e Logística;SP;0,356
VBBR3;VIBRA;VIBRA ENERGIA S/A;34.274.233/0001-02;Comércio (Atacado e Varejo);RJ;2,503
VBBR3;VIBRA;VIBRA ENERGIA S/A;34.274.233/0001-02;Comércio (Atacado e Varejo);RJ;2,503
WEGE3;WEG;WEG SA;84.429.695/0001-11;Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças;SC;1,844
YDUQ3;YDUQS PART;YDUQS PARTICIPACOES S.A.;08.807.432/0001-10;Emp. Adm. Part. - Educação;RJ;0,535
YDUQ3;YDUQS PART;YDUQS PARTICIPACOES S.A.;08.807.432/0001-10;Emp. Adm. Part. - Educação;RJ;0,535
